3008;Zona Arqueológica;1
3009;Pztzcaro y Teotihuacan: Riqueza natural y arqueológica;1
3010;Ciudades turísticas: Guadalajara, Guanajuato;1
3011-12;Universidad entrevista filmoteca;2
3013;Universidad Sala Nezahualcoyotl;1
3014;Yo soy México;1
3015;Fiesta navideña y comercia costa brava;1
3016;Primavera en el corazón;1
3017;Día de muertos en Patzcuaro Janitzio;1
3018;Entrevista Eduardo Mata;1
3019;Contra la razón;1
3020;Ceremonia Honoris Causa  en Minería 1979;1
3021;24 hrs. De Le Mans;1
3022;Entrevista a intelectuales latinoamericanos sobre Plaza Sésamo;1
3023;Una visita a Pekín televisión educativa canal trece;1
3024;Visita a Shangai Antón;1
3025;La__________ gringa;1
3026;Frida Khalo;1
3026;Frida Khalo;1
3027;Trailers: Terror en… "Girly" "Brigada Suicida" "Unidos";1
3028;Trailers: El hospital en… "Pavlov" "El último verano" "Ella no bebe";1
3029;Noticiero Nueva Era exposición Japón;1
3030;Campaña erradicación del paludismo;1
3031;Comerciales computadoras Sheuffss;1
3032-33;Décimo aniversario Asa;1
3034;Entrevista personajes Luis Buñuel;1
3035;Trailer: Los días del Agua;1
3036;Medicina preventista deporte gimnasia ;1
3037;Ahora sí tenemos que ganar;1
3038;Bajo la metralla;1
3041-42;Gatilleros del diablo;2
3047-51;Cementerio de esmeraldas;5
3090;5 de Febrero;1
3098;Centenario del Himno Nacional Mexicano;1
3130-32;10 aet kocmnyskon;3
3133-34;Kocmnyckor;2
3135;Polkzwyzy-dzien;1
3136;Poshe wylitiqokien;1
3186;Pebhoot;1
3205-13;Abriendo fuego;9
3214-24;Abriendo fuego;11
3225;Espadachin;2
3226-43;Cielo rojo;18
3249-45;Cielo rojo (trailer);2
3251-58;Baila mi amor;8
3259-68;Baila mi amor;10
3281-85;Bataclan mexicano;5
3286-89;Bataclan mexicano;4
3290-94;Asi es mi Mexico;5
3295-03;Asi es mi Mexico;9
3304-07;Asi es mi Mexico;4
3356;Las fieras en brama;1
3357-77;Las fieras en brama;21
3378-80;Nuestro idioma (literatura);3
3381;Cuadros de 3 decenios;1
3752;Cuentos de Salarrue;1
3857-58;Mineria;2
3923-33;El gato y el canario;11
3934;Correos SONIDO ;1
3999;Identidades de una mujer;1
4000;Recepcion de la juventud;1
4001;Muerte de lucio Cabañas;1
4002;Cantiflas promocional #1y2;1
4003;Colección Marcela Lombardo;1
4005;La encogera;1
4004;México ante los ojos del mundo;1
4006;Industrias indigenas;1
4007;Sembrando ideas;1
4021;San Lazaro casa redonda salida Mexico Cuatla;1
4023;Ferrocarril Mexicano 1873-1993;1
4022;Una justicia que se escapa;1
4024;Carta destino puerta al optimismo "IMSS";1
4025;Carta al destino puerta al optismimo "IMSS";1
4026;México moderno:Comida en Huehuetoca;1
4027;Luis Gomez;1
4028;Portrait of a railroad: Una justicia que se escapa ;1
4028;Homenaje Diego Rivera;1
4029;La urbe;1
4052;Cubismos;1
4095-98;DIF cultural UNAM;3
4170;El palacio de verano / Beijing a vista de pájaro;1
4171;La 2 subida al monte Jolmo Lungma;1
4172-73;Disturbios en el reino celestial;2
4174;Animales salvajes / Jóvenes isntruidas van al campo;1
4175;Pequeños centinelas del mar oriental / El zorro;1
4176-77;La princesa pavorreal;2
4179;Luis Echeverría en China;1
4180;El pequeño pescador;1
4183;Estudio del fradres;1
4185;Is a short of the seas part II / La poubelle;1
4325;Gira Campeche - Desfile;1
4326;Historia del cine;1
4327-58;Bataclan mexicano;22
4359-78;Tres de presidio;20
4379-80;Tres de presidio Trailers;2
4381-400;Hay ángeles sin alas;20
4481-90;Guerra de sexos;10
4491-500;Guerra de sexos;10
4501-10;Sucedió en Jalisco;10
4511-20;Sucedió en Jalisco;10
4521;Sucedió en Jalisco Tr.;1
4522;Sucedió en Jalisco Tr.;1
4523-31;Hombres de roca;9
4532-40;Hombres de roca;9
4541-42;El presidio;2
4543-51;El ardiente deseo;9
4552-59;El ardiente deseo;8
4560;El ardiente deseo;1
4561-62;El ardiente deseo Trailer;2
4563-71;Vuelo 201;9
4572-80;Vuelo 201;9
4581-82;Vuelo 201 Trailer;2
4583-90;Duelo al amanecer;8
4591-98;Duelo al amanecer;8
4599-600;Duelo al amanecer Trailer en;2
4601-04;Informe documental;4
4605-06;Narcotrafico: sentencia de muerte;2
4607-08;Carroña;2
4626-45;La máscara de carne;20
4646-63;El hombre de negro;18
4676-80;El grito;5
4681-700;Juegos de alcoba;20
4701-20;La muerte en bikini;20
4741-42;La marcha a Zacatecas TR.;2
4743-52;María del Oro y su perrito Azul: "Señoritas";10
4753-62;María del Oro y su perrito Azul: "Señoritas";10
4780;La columna;1
4781-91;El negocio del odio;11
4792-802;El negocio del odio;11
5135;Grito de muerte TR.;1
5149-50;La duda;2
5401;Sin etiqueta;1
5855-63;Trampas de amor;9
5864-72;Trampas de amor;9
5873-80;Siempre hay una primera vez;8
5881;Siempre hay una primera vez TR.;1
5882-91;Siempre hay una primera vez;10
5892;Siempre hay una primera vez TR.;1
5893-16;Paraiso;24
5917-36;Una vez un hombre;20
5937-56;Para servirle a usted;20
5975-94;Las puertas del paraiso TR.;20
5995-16;Tacos al carbón;22
6017;Los cacos;1
6018;Los cacos TR.;1
6019-29;Los cacos;11
6030;Los cacos TR.;1
6031-34;Los cacos;4
6035;Sin salida TR.;1
6036;Sin salida TR.;1
6037-45;Sin salida;9
6046-54;Sin salida;9
6073-75;El pavo;3
6076-77;Reto a la vida;2
6078-89;El pavo;11
6090-91;Reto a la vida;2
6092-96;El pavo;4
6121-36;Los 2 hermanos;16
